abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,classfication,defense,hp,japanese_name,name,pokedex_number,sp_attack,sp_defense,speed,type1,type2,generation,is_legendary,version
"['Overgrow', 'Chlorophyll']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,49,Seed Pokémon,49,45,Fushigidaneフシギダネ,Bulbasaur,1,65,65,45,grass,poison,1,0,"Blue, Red and Yellow"
"['Overgrow', 'Chlorophyll']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,62,Seed Pokémon,63,60,Fushigisouフシギソウ,Ivysaur,2,80,80,60,grass,poison,1,0,"Blue, Red and Yellow"
"['Overgrow', 'Chlorophyll']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,100,Seed Pokémon,123,80,Fushigibanaフシギバナ,Venusaur,3,122,120,80,grass,poison,1,0,"Blue, Red and Yellow"
"['Blaze', 'Solar Power']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,52,Lizard Pokémon,43,39,Hitokageヒトカゲ,Charmander,4,60,50,65,fire,none,1,0,"Blue, Red and Yellow"
"['Blaze', 'Solar Power']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,64,Flame Pokémon,58,58,Lizardoリザード,Charmeleon,5,80,65,80,fire,none,1,0,"Blue, Red and Yellow"
"['Blaze', 'Solar Power']",0.25,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,4.0,0.5,2.0,104,Flame Pokémon,78,78,Lizardonリザードン,Charizard,6,159,115,100,fire,flying,1,0,"Blue, Red and Yellow"
"['Torrent', 'Rain Dish']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,48,Tiny Turtle Pokémon,65,44,Zenigameゼニガメ,Squirtle,7,50,64,43,water,none,1,0,"Blue, Red and Yellow"
"['Torrent', 'Rain Dish']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,63,Turtle Pokémon,80,59,Kameilカメール,Wartortle,8,65,80,58,water,none,1,0,"Blue, Red and Yellow"
"['Torrent', 'Rain Dish']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,103,Shellfish Pokémon,120,79,Kamexカメックス,Blastoise,9,135,115,78,water,none,1,0,"Blue, Red and Yellow"
"['Shield Dust', 'Run Away']",1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,30,Worm Pokémon,35,45,Caterpieキャタピー,Caterpie,10,20,20,45,bug,none,1,0,"Blue, Red and Yellow"
['Shed Skin'],1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,20,Cocoon Pokémon,55,50,Transelトランセル,Metapod,11,25,25,30,bug,none,1,0,"Blue, Red and Yellow"
"['Compoundeyes', 'Tinted Lens']",0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,45,Butterfly Pokémon,50,60,Butterfreeバタフリー,Butterfree,12,90,80,70,bug,flying,1,0,"Blue, Red and Yellow"
"['Shield Dust', 'Run Away']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,35,Hairy Pokémon,30,40,Beedleビードル,Weedle,13,20,20,50,bug,poison,1,0,"Blue, Red and Yellow"
['Shed Skin'],0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,25,Cocoon Pokémon,50,45,Cocoonコクーン,Kakuna,14,25,25,35,bug,poison,1,0,"Blue, Red and Yellow"
"['Swarm', 'Sniper']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,150,Poison Bee Pokémon,40,65,Spearスピアー,Beedrill,15,15,80,145,bug,poison,1,0,"Blue, Red and Yellow"
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,45,Tiny Bird Pokémon,40,40,Poppoポッポ,Pidgey,16,35,35,56,normal,flying,1,0,"Blue, Red and Yellow"
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,60,Bird Pokémon,55,63,Pigeonピジョン,Pidgeotto,17,50,50,71,normal,flying,1,0,"Blue, Red and Yellow"
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,80,Bird Pokémon,80,83,Pigeotピジョット,Pidgeot,18,135,80,121,normal,flying,1,0,"Blue, Red and Yellow"
"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,56,Mouse Pokémon,35,30,Korattaコラッタ,Rattata,19,25,35,72,normal,dark,1,0,"Blue, Red and Yellow"
"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,71,Mouse Pokémon,70,75,Rattaラッタ,Raticate,20,40,80,77,normal,dark,1,0,"Blue, Red and Yellow"
"['Keen Eye', 'Sniper']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,60,Tiny Bird Pokémon,30,40,Onisuzumeオニスズメ,Spearow,21,31,31,70,normal,flying,1,0,"Blue, Red and Yellow"
"['Keen Eye', 'Sniper']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,90,Beak Pokémon,65,65,Onidrillオニドリル,Fearow,22,61,61,100,normal,flying,1,0,"Blue, Red and Yellow"
"['Intimidate', 'Shed Skin', 'Unnerve']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,60,Snake Pokémon,44,35,Arboアーボ,Ekans,23,40,54,55,poison,none,1,0,"Blue, Red and Yellow"
"['Intimidate', 'Shed Skin', 'Unnerve']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,95,Cobra Pokémon,69,60,Arbokアーボック,Arbok,24,65,79,80,poison,none,1,0,"Blue, Red and Yellow"
"['Static', 'Lightningrod']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,55,Mouse Pokémon,40,35,Pikachuピカチュウ,Pikachu,25,50,50,90,electric,none,1,0,"Blue, Red and Yellow"
"['Static', 'Lightningrod', 'Surge Surfer']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,85,Mouse Pokémon,50,60,Raichuライチュウ,Raichu,26,95,85,110,electric,electric,1,0,"Blue, Red and Yellow"
"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,75,Mouse Pokémon,90,50,Sandサンド,Sandshrew,27,10,35,40,ground,ice,1,0,"Blue, Red and Yellow"
"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,100,Mouse Pokémon,120,75,Sandpanサンドパン,Sandslash,28,25,65,65,ground,ice,1,0,"Blue, Red and Yellow"
"['Poison Point', 'Rivalry', 'Hustle']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,47,Poison Pin Pokémon,52,55,Nidoran?ニドラン♀,Nidoran♀,29,40,40,41,poison,none,1,0,"Blue, Red and Yellow"
"['Poison Point', 'Rivalry', 'Hustle']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,62,Poison Pin Pokémon,67,70,Nidorinaニドリーナ,Nidorina,30,55,55,56,poison,none,1,0,"Blue, Red and Yellow"
"['Poison Point', 'Rivalry', 'Sheer Force']",0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0,92,Drill Pokémon,87,90,Nidoqueenニドクイン,Nidoqueen,31,75,85,76,poison,ground,1,0,"Blue, Red and Yellow"
